; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
   9.17310 ,   45.51473 , "Hobby Toys Giocattoli Tutto Per Il(Milano)MI->+390266222476"
   9.04107 ,   45.53038 , "Nuova Air Hobby Snc(Rho)MI->+39029305974"
   9.18889 ,   45.54111 , "Redivo Olimpia Arte(Bresso)MI->+39026100399"
   9.18901 ,   45.54156 , "Arte Di Redivio O.(Bresso)MI->+39026100323"
   9.18094 ,   45.55025 , "Meg Srl(Cusano Milanino)MI->+39026196854"
   9.19250 ,   45.57611 , "I.t.c. Italian Tool Company s.(Paderno Dugnano)MI->+390299043354"
   9.11889 ,   45.57833 , "Piombino Marco Colorificio(Senago)MI->+390299053815"
   9.14551 ,   45.58212 , "Hermes(Paderno Dugnano)MI->+390291082125"
   9.04006 ,   45.61638 , "B.b.r. Exclusive Car Models Srl(Saronno)VA->+39029624516"
   9.14944 ,   45.63639 , "Gemelli Di Calabro' Francesca C(Cesano Maderno)MI->+390362540306"
   9.20611 ,   45.65694 , "Action Models Snc(Seregno)MI->+390362328094"
   9.17250 ,   45.66833 , "Nastri Spine Spine Articoli(Cabiate)CO->+39031767292"
   9.11278 ,   45.68306 , "De Maria Alba Augusta(Lentate Sul Seveso)MI->+390362562109"
   9.08778 ,   45.80583 , "Hobby Piu'(Como)CO->+39031264355"
   9.08417 ,   45.81028 , "Mantovani(Como)CO->+39031268424"
   9.42011 ,   45.30518 , "Co Ar Toys S.r.l. Giocattoli E(Lodi)LO->+39037135541"
   9.50167 ,   45.31222 , "Co Ar Toys S.r.l. Giocattoli E(Lodi)LO->+390371423659"
   9.50139 ,   45.31472 , "Tansini Egidio Giocattoli(Lodi)LO->+390371420137"
   9.68454 ,   45.35804 , "Boiocchi(Crema)CR->+39037386368"
   9.25890 ,   45.40852 , "M.p. Modelli Prototipi Di G(San Donato Milanese)MI->+39025271119"
   9.39139 ,   45.45556 , "Re Giuseppina Tabacchi E Agricolo(Settala)MI->+390295379393"
