; Readable locations in D:\Miei Programmi\RemakeOv2\RO_radar.ov2
;
; Longitude,    Latitude, "Name"
  20.63680 ,   46.06809 , "Country: 8, Type: 138, Angle: -1"
  20.63680 ,   46.06809 , "Country: 8, Type: 138, Angle: -1"
  20.63680 ,   46.06809 , "Country: 8, Type: 138, Angle: -1"
  21.21462 ,   45.78895 , "Country: 8, Type: 138, Angle: -1"
  21.04382 ,   45.83320 , "Country: 8, Type: 138, Angle: -1"
  21.04382 ,   45.83320 , "Country: 8, Type: 138, Angle: -1"
  20.95920 ,   45.88696 , "Country: 8, Type: 138, Angle: -1"
  20.95920 ,   45.88696 , "Country: 8, Type: 138, Angle: -1"
  20.94513 ,   45.89704 , "Country: 8, Type: 138, Angle: -1"
  20.94513 ,   45.89704 , "Country: 8, Type: 138, Angle: -1"
  20.90126 ,   45.91994 , "Country: 8, Type: 138, Angle: -1"
  20.90126 ,   45.91994 , "Country: 8, Type: 138, Angle: -1"
  20.88355 ,   45.92921 , "Country: 8, Type: 138, Angle: -1"
  20.88355 ,   45.92921 , "Country: 8, Type: 138, Angle: -1"
  21.19731 ,   45.96067 , "Country: 8, Type: 138, Angle: -1"
  20.74526 ,   45.96788 , "Country: 8, Type: 138, Angle: -1"
  20.74526 ,   45.96788 , "Country: 8, Type: 138, Angle: -1"
  20.78212 ,   45.96810 , "Country: 8, Type: 138, Angle: -1"
  20.78212 ,   45.96810 , "Country: 8, Type: 138, Angle: -1"
  20.64378 ,   46.05587 , "Country: 8, Type: 138, Angle: -1"
  20.64378 ,   46.05587 , "Country: 8, Type: 138, Angle: -1"
  20.64358 ,   46.05599 , "Country: 8, Type: 138, Angle: -1"
  20.64358 ,   46.05599 , "Country: 8, Type: 138, Angle: -1"
  20.63680 ,   46.06809 , "Country: 8, Type: 138, Angle: -1"
  20.63680 ,   46.06809 , "Country: 8, Type: 138, Angle: -1"
  20.74391 ,   46.16883 , "Country: 8, Type: 138, Angle: -1"
  21.06916 ,   46.17122 , "Country: 8, Type: 138, Angle: -1"
  21.21730 ,   45.78735 , "Country: 8, Type: 138, Angle: -1"
  21.22542 ,   45.76404 , "Country: 8, Type: 138, Angle: -1"
  21.24706 ,   45.76262 , "Country: 8, Type: 138, Angle: -1"
  21.24706 ,   45.76262 , "Country: 8, Type: 138, Angle: -1"
  21.31966 ,   46.13820 , "Country: 8, Type: 138, Angle: -1"
  21.50421 ,   45.79893 , "Country: 8, Type: 138, Angle: -1"
  24.82888 ,   44.88400 , "Country: 8, Type: 138, Angle: -1"
  24.82888 ,   44.88400 , "Country: 8, Type: 138, Angle: -1"
  25.54333 ,   45.42000 , "Country: 8, Type: 138, Angle: -1"
  25.54341 ,   45.42004 , "Country: 8, Type: 138, Angle: -1"
  25.54361 ,   45.36778 , "Country: 8, Type: 138, Angle: -1"
  25.54366 ,   45.42015 , "Country: 8, Type: 138, Angle: -1"
  25.54366 ,   45.42015 , "Country: 8, Type: 138, Angle: -1"
  25.54380 ,   45.36800 , "Country: 8, Type: 138, Angle: -1"
  25.54418 ,   45.36795 , "Country: 8, Type: 138, Angle: -1"
  25.54418 ,   45.36795 , "Country: 8, Type: 138, Angle: -1"
  25.54837 ,   45.34662 , "Country: 8, Type: 138, Angle: -1"
  25.54837 ,   45.34662 , "Country: 8, Type: 138, Angle: -1"
  25.55444 ,   45.44500 , "Country: 8, Type: 138, Angle: -1"
  25.55444 ,   45.48778 , "Country: 8, Type: 138, Angle: -1"
  25.55449 ,   45.44476 , "Country: 8, Type: 138, Angle: -1"
  25.55449 ,   45.44476 , "Country: 8, Type: 138, Angle: -1"
  25.55464 ,   45.44469 , "Country: 8, Type: 138, Angle: -1"
  25.56139 ,   45.33167 , "Country: 8, Type: 138, Angle: -1"
  26.04724 ,   44.88388 , "Country: 8, Type: 138, Angle: -1"
  26.04722 ,   44.88389 , "Country: 8, Type: 138, Angle: -1"
  25.99306 ,   44.90972 , "Country: 8, Type: 138, Angle: -1"
  25.99303 ,   44.91004 , "Country: 8, Type: 138, Angle: -1"
  25.99275 ,   44.91024 , "Country: 8, Type: 138, Angle: -1"
  25.99275 ,   44.91024 , "Country: 8, Type: 138, Angle: -1"
  25.96083 ,   44.96861 , "Country: 8, Type: 138, Angle: -1"
  25.96104 ,   44.96879 , "Country: 8, Type: 138, Angle: -1"
  25.96079 ,   44.96887 , "Country: 8, Type: 138, Angle: -1"
  25.96079 ,   44.96887 , "Country: 8, Type: 138, Angle: -1"
  25.92648 ,   44.98403 , "Country: 8, Type: 138, Angle: -1"
  25.92648 ,   44.98403 , "Country: 8, Type: 138, Angle: -1"
  26.81608 ,   45.16008 , "Country: 8, Type: 138, Angle: -1"
  26.81608 ,   45.16008 , "Country: 8, Type: 138, Angle: -1"
  25.62389 ,   45.26722 , "Country: 8, Type: 138, Angle: -1"
  25.62412 ,   45.26823 , "Country: 8, Type: 138, Angle: -1"
  25.62412 ,   45.26823 , "Country: 8, Type: 138, Angle: -1"
  25.62412 ,   45.26823 , "Country: 8, Type: 138, Angle: -1"
  25.62412 ,   45.26823 , "Country: 8, Type: 138, Angle: -1"
  25.56139 ,   45.33187 , "Country: 8, Type: 138, Angle: -1"
  25.56139 ,   45.33187 , "Country: 8, Type: 138, Angle: -1"
  25.56613 ,   45.48765 , "Country: 8, Type: 138, Angle: -1"
  25.56613 ,   45.48767 , "Country: 8, Type: 138, Angle: -1"
  25.56613 ,   45.48767 , "Country: 8, Type: 138, Angle: -1"
  25.65901 ,   45.61100 , "Country: 8, Type: 138, Angle: -1"

; 193 record written, 0 deleted bytes ignored, 651 bytes not processed
